yi'ge 一个
zhi'wen'shi'bie 指纹识别
gong'cheng'zi'xun 工程咨询
bo'fang'ji 播放机
ren'jun'bu'jin 忍俊不禁
tu'di'chu'bei 土地储备
zheng'fu'pi'zhun 政府批准
bu'hua'suan 不划算
niu'nie 扭捏
nei'cang 内藏
fu'xu 夫婿
chu'hu 储户
dian'xin'ji'fang 电信机房
pin'kun'jia'ting 贫困家庭
xiao'fang'jian 小房间
he'tong'shu 合同书
ji'tuan'hua 集团化
wu'zi'mu 无字幕
yao'fen 药粉
zi'shi 自恃
ting'huo 停火
he'ban 合办
bai'dao 摆到
ting'zhu 听著
lao'bu'si 老不死
xin'wen'wang'zhan 新闻网站
xi'zhi 系指
fang'mian'jun 方面军
jie'mian'she'ji 界面设计
zhong'gu 重估
tu'ran 徒然
su'cai'ku 素材库
bao'hu'zhuang'zhi 保护装置
che'tou'che'wei 彻头彻尾
dui'liu 对流
la'lian 拉练
ya'zhu 压铸
yi'zhi 已至
yi'du'kong'jian 异度空间
yi'wo 一窝
hen'xu'yao 很需要
shen'mei'guan 审美观
rao'min 扰民
dai'gei'ta 带给他
biao'tou 镖头
mei'jian 眉间
su'wei'ai 苏维埃
liang'jia 良家
ying'yu'yue'du 英语阅读
duo'xia 夺下
a'ma 阿玛
qi'che'bao'yang 汽车保养
guo'tu'ju 国土局
diao'xiao 调校
gun'bang 棍棒
hua'neng 华能
qi'zhi 岂止
yue'shen 月神
chang'jiang'san'xia 长江三峡
hao'cai 好彩
zhui'shu 赘述
bei'jing'dian'shi'tai 北京电视台
dian'yuan'shi'pei'qi 电源适配器
jing'shen'jia'yuan 精神家园
chan'xue'yan 产学研
chuan'huan 传唤
fen'xi'yuan 分析员
song'qian 送钱
li'gong'lei 理工类
da'gao 大搞
jiao'yan'huo'dong 教研活动
can'ju 残局
zi'chang 滋长
zhao'ci 照此
min'diao 民调
la'dan 拉丹
xiao'si'ren 笑死人
kao'wu 考务
hun'da 混搭
ai'li 爱丽
xing'qi'nei 星期内
hu'bu 户部
sha'bai 煞白
zi'fu'ji 字符集
wang'ba'guan'li 网吧管理
zhen'shi 真事
zai'ge'fang'mian 在各方面
zheng'gu 整蛊
zhen'tou 针头
yu'shu 榆树
zhan'you'yu 占有欲
kai'sa 恺撒
chao'xi 潮汐
yin'le'sheng 音乐声
zhang'ting'ban 涨停板
ce'zi 测字
ji'ya 羁押
zhe'he'ren'min'bi 折合人民币
chu'zhan 出站
er'he'yi 二合一
tao'tu 套图
ju'zeng 剧增
zong'ti'mu'biao 总体目标
yi'zhe 倚着
shei'liao 谁料
ju'jue'fu'wu 拒绝服务
wu'yuan 无源
wang'nei 网内
zhu'huo 烛火
jian'xue 见血
mei'wang 美网
bu'qu'bu'nao 不屈不挠
zhun'bei'yong 准备用
mei'shao 眉梢
mei'yi'chu 每一处
kuo'hao'nei 括号内
qing'shou 清瘦
hao'ma 好马
kai'wan 开完
xun'yu 逊于
fei'zhu'ce 非注册
jia'meng'dai'li 加盟代理
kong'zi 空子
leng'guang 冷光
er'tong'wen'xue 儿童文学
ye'wu'zhi'shi 业务知识
pai'ban 拍板
bai'nao'hui 百脑汇
she'ying'ji'zhe 摄影记者
hen'gan'ren 很感人
gong'suo 公所
zhong'yi'xue 中医学
lao'jie 老姐
da'diao 大调
er'zhi 而知
dian'shi'you'xi 电视游戏
xu'jing 虚惊
mei'yu 美玉
lao'zhong'yi 老中医
fan'gong 返工
huang'he'ban 黄褐斑
yi'zhen 义诊
mei'yu 梅雨
la'shou 辣手
guan'cha'yuan 观察员
ye'can 野餐
pai'ming'di'er 排名第二
lai'fan 来犯
san'she 散射
san'ming'zhi 三明治
jin'de 进得
tong'yong'dian'qi 通用电气
xi'ju'xue'yuan 戏剧学院
zhuan'tou 转投
wo'zhi'shi'ge 我只是个
qiu'ren 求人
duo'chang 多场
sui'jun 随军
tong'kuang 铜矿
san'shi'fen 三十分
ying'ming 英名
di'ya'dian'qi 低压电器
shi'ren 食人
zhao'qin 招亲
yong'xue 用血
yao'zu 妖族
run'fu 润肤
zhong'zhuan'zhan 中转站
dian'zi'shu'ji 电子书籍
pi'er 皮尔
jian'yi'nin'shi'yong 建议您使用
fa'ji 发髻
wen'feng 文风
cheng'wang 称王
cai'dan 彩蛋
ru'yue 如约
zao'qi'jiao'yu 早期教育
da'qian 大千
xie'dai 鞋带
ji'hui 寄回
yun'qiu 运球
wei'gong'kai 未公开
yi'wei 疑为
bo'en 伯恩
wei'du 纬度
gong'wu'yuan'fa 公务员法
jing'de 静得
bao'tu 暴徒
guo'jia'fa'lv'fa'gui 国家法律法规
chu'fa'qi 触发器
jiao'he 搅和
tian'zhi 天职
fei'di 飞抵
qi'gong 奇功
li'te 里特
min'gan'du 敏感度
chao'qi 潮起
jia'meng'fei 加盟费
yang'ban'fang 样板房
shi'xing 世行
hui'bu 回补
rang'zuo 让座
li'zhua 利爪
chu'guan 储罐
kua'zan 夸赞
chang'di 长笛
jun'xu 均需
zhuang'si 装死
xiao'chang 小肠
yan'xi 筵席
zhai'qu 摘取
cun'xu 存续
yin'kai 引开
ba'wu 八五
xing'wen 星闻
xin'xin'xiang'rong 欣欣向荣
zhang'liang 张良
bei'lin 碑林
yi'ma'dang'xian 一马当先
luo'dian 落点
yi'yuan'zhi'liao 医院治疗
ling'dao'ji'ti 领导集体
zhuan'zu 转租
ying'xiao'xue 营销学
zi'ban 自办
he'ai'ke'qin 和蔼可亲
zheng'zhi'ke 政治课
qi'xing'cai 七星彩
di'san'fang'wu'liu 第三方物流
da'ci'dian 大辞典
dui'da 对打
tian'zhe 舔着
bo'ke'zhong'guo 博客中国
he'tong'jiu'fen 合同纠纷
lu'huo 炉火
cheng'liang 乘凉
quan'qiu'fang'zhi'wang 全球纺织网
kua'yao 夸耀
jiao'yu'guan'nian 教育观念
chi'bu'bao 吃不饱
shang'geng 上更
liang'duo 两朵
shuo'bu'hao 说不好
huai'hai'lu 淮海路
kai'wei 开胃
xiao'qu'li 小区里
da'shu 大数
ren'qi'tun'sheng 忍气吞声
liang'qi 两期
jian'fa 减法
qing'qi 轻骑
mei'shi'guo 没试过
zong'zhi 总支
ru'hong 如虹
ji'jing 鸡精
ti'zhen 提振
gu'wo'zai 故我在
chuan'hua 传话
fan'qing'xiao'shui 反倾销税
da'huang'ye 大黄页
yan'sheng'wu 衍生物
shang'pin'shi'chang 商品市场
zhou'chang 周长
shui'yun 水云
zhang'fa 掌法
ju'long 聚拢
bu'liang'xing'wei 不良行为
po'da 颇大
he'nan'ren 河南人
suo'chuan 所传
za'yang 咋样
mo'fa'she'zhi 魔法设置
ru'zhao 乳罩
shang'ye'huo'ban 商业伙伴
lv'dao 绿岛
chou'hui 抽回
yu'da 愈大
zhi'zuo'wang'ye 制作网页
jia'shi 加时
jiao'zhang 脚掌
zi'zhuan 自转
shi'liao 石料
jing'ji'mao'yi'wei'yuan'hui 经济贸易委员会
ji'ben'shu 几本书
fang'gai 房改
cheng'shu'qi 成熟期
zui'zheng 罪证
ci'bing 此病
chu'dong 初冬
jian'zhi 减至
yi'la'ke'ren 伊拉克人
dan'fa 单发
shi'rou 食肉
zi'yan 紫烟
ping'yi 平移
lu'wang 路网
xuan'bian 选编
yin'nang 阴囊
wei'shang'shi 未上市
zhuan'ye'ben'ke 专业本科
yi'da'li'yu 意大利语
xin'mu'biao 新目标
lao'ruo 老弱
sha'qing 杀青
mao'shan 毛衫
shi'jie'li'shi 世界历史
mian'shuang 面霜
suo'gu 锁骨
hu'zhao 护罩
kai'pao 开炮
zhan'gu 战鼓
gong'kai'biao'shi 公开表示
yi'shu'ren'sheng 艺术人生
pian'hua 片花
fu'he'di'ban 复合地板
fan'hua 繁花
feng'ying 丰盈
da'yuan 大圆
zuo'zhan'ji'hua 作战计划
du'bian 渡边
di'er'shi 第二十
hua'na'chang'pian 华纳唱片
bu'jun'heng 不均衡
gong'xin'li 公信力
xia'lou'ti 下楼梯
xiao'dong 小东
qi'ming 七名
jie'zhong'er'zhi 接踵而至
zhan'wang'wei'lai 展望未来
jiao'shou'jia 脚手架
kai'ge 凯歌
chu'fa 除法
shan'zai 善哉
meng'pian 蒙骗
zong'cheng 总称
ling'shou'zong'e 零售总额
jiao'ruo 娇弱
er'zhi 而致
zhuan'xin'zhi'zhi 专心致志
shuang'guan'qi'xia 双管齐下
dui'wai'tou'zi 对外投资
shu'ju'xian'jie'kou 数据线接口
da'zha'xie 大闸蟹
yuan'ze'xing 原则性
hao'le 号了
zhen'ji 针剂
jian'mo 缄默
bai'fo 拜佛
zhe'zhou 褶皱
yi'luo 遗落
dan'bao'ren 担保人
cuo'luo'you'zhi 错落有致
bei'jia 倍加
duo'te'meng'de 多特蒙德
shou'xiang 手相
zhen'li 镇里
sheng'bai 胜败
bian'e 匾额
miao'hui'chu 描绘出
ling'guan'shui 零关税
xiao'qu 小曲
shi'xi 世袭
zhi'wei 之谓
kuan'yi 宽衣
shun'xu'pai'lie 顺序排列
jia'quan'ping'jun 加权平均
hou'qin'fu'wu 后勤服务
tian'bing 天兵
ming'huang'huang 明晃晃
hua'zhuan 划转
xing'dao 行道
hua'deng 花灯
yao'jiang'jiu 要讲究
guo'min'sheng'chan 国民生产
liang'hui'shi 两回事
shen'tan 神坛
gu'shu 股数
tong'guan'li'yuan 同管理员
kou'chu 口出
te'bie'bao'dao 特别报道
qian'kuan 钱款
huan'de'huan'shi 患得患失
hong'huang 洪荒
zhong'ri'you'hao 中日友好
ri'ben'liao'li 日本料理
jing'si 竟似
mian'fei'ying'shi 免费影视
lan'lu 褴褛
ding'dan'hao 订单号
hu'xin 互信
shao'lai 少来
ming'zi'jiao'zuo 名字叫做
liang'jia 两颊
dao'yu 导语
qi'zha'xing'wei 欺诈行为
xing'gan'nv 性感女
jian'zhu'xing'ye 建筑行业
xiu'qiu 绣球
ti'zheng 体征
jun'che 军车
e'gun 恶棍
you'yi'hui 有一回
ri'guang'deng 日光灯
sheng'wu'duo'yang'xing 生物多样性
wu'fa'qi'dong 无法启动
hei'dou 黑豆
yin'le'chuang'zuo 音乐创作
hun'dao 混到
mi'li 米粒
ying'jie 英杰
zhu'jiang'ren 主讲人
yan'luo 阎罗
ying'yin 影印
li'shi'wen'hua'ming'cheng 历史文化名城
yun'shu'che 运输车
ye'lang 夜郎
sui'wei 虽为
si'shi'wu'zhang 四十五章
kuai'zhuang 块状
gao'kao'ying'yu 高考英语
hao'gui 好贵
tou'she 透射
xiang'kou 相扣
nan'nv'shuang'fang 男女双方
gai'mao 盖帽
kai'hua 开化
gu'di 谷地
ge'ming'jia 革命家
dan'gao'dian 蛋糕店
ji'sui 击碎
tuo'ba 拖把
zhong'dui'chang 中队长
yin'ling 银铃
mian'fei'yu'ming 免费域名
dian'di 垫底
pai'ma 拍马
fei'zhang 飞涨
chang'de'ge 唱的歌
qi'ye'shang'wang 企业上网
kuang'yan 狂言
pei'zhi'gui'ge 配置规格
dian'ju 点距
tai'xu 太虚
bang'zhe 绑着
qiu'zhu'yu 求助于
si'kao 司考
jia'wu 甲午
jiao'jing'da'dui 交警大队
zhu'ji'ming 主机名
chi'ling'shi 吃零食
shui'mi'tao 水蜜桃
yi'bo'san'zhe 一波三折
lai'er 莱尔
bao'xiao 报效
jian'wang'zhan 建网站
duo'lv 多虑
yang'nv 养女
di'pai 底牌
feng'xian'jing'shen 奉献精神
hua'xiang 滑翔
yu're 余热
ren'shi'chu 人事处
su'sha 肃杀
qiu'tu 囚徒
ke'xin 可心
jiao'sheng 娇声
qi'de 起得
zhuang'shi'wang 装饰网
kao'yan'wang 考研网
feng'mian'shang 封面上
he'sui'ban 贺岁版
ba'lu 八路
ci'pan'gong'ju 磁盘工具
bei'jing'da 北京大
gang'jie 港姐
ji'yang 暨阳
e'dou 恶斗
pu'si 普斯
xiu'mei 秀眉
tai'wan'ban 台湾版
zui'bo 最薄
zhuang'zhen 庄镇
jia'xiao 假笑
tou'dong'xi 偷东西
pen'qi 喷气
hei'shao 黑哨
tai'dou 泰斗
dong'tian'li 冬天里
luo'dan 落单
guan'jian'zi'sou'suo 关键字搜索
di'san'lei 第三类
jie'yu 结余
gou'huo 购货
zhao'shang'yin'zi'gong'zuo 招商引资工作
mei'bi 每笔
xi'bao'nei 细胞内
zui'de'yi 最得意
ying'shi'pin'dao 影视频道
chan'fang 产房
si'rong 丝绒
ji'xi'wang'yu 寄希望于
sai'hong 腮红
zhong'wen'sou'suo 中文搜索
wu'liu'ge 五六个
ding'zhi 定植
mei'tou'mei'nao 没头没脑
wu'zu 无阻
lian'he'kai'fa 联合开发
na'ni'ya 纳尼亚
nong'chan'pin'jia'gong 农产品加工
ya'suo'gong'ju 压缩工具
hao'yun'qi 好运气
shi'gu'ze'ren 事故责任
gun'dan 滚蛋
yi'fei 已非
nong'jia'le 农家乐
chang'ci'yi'wang 长此以往
rao'she 饶舌
ji'ji'ke'wei 岌岌可危
yao'yao'wu'qi 遥遥无期
wei'jie 未接
wan'hui'shang 晚会上
fu'li 富丽
guo'nei'wai'zhi'ming 国内外知名
pi'xia 劈下
qin'he 亲和
zang'xi'xi 脏兮兮
zhu'gou 猪狗
duan'bi'shan 断臂山
feng'neng 风能
mao'yi'bu 贸易部
lu'sen'bao 卢森堡
zhu'ci 主次
gong'si'gu'gai 公司股改
zhe'shu 这书
ge'ji'ling'dao'gan'bu 各级领导干部
zhe'ban 这班
chu'ru'jing'jian'yan 出入境检验
chao'dao 超导
wo'hui'tou 我回头
hen'xi 很细
er'xin 而新
zao'zuo 造作
yi'yu 呓语
yao'jin'shen 要谨慎
lei'jie'mu 类节目
ji'ben'nong'tian 基本农田
ka'luo 卡洛
heng'fa 恒发
he'ji 和记
yan'zhu 沿著
huo'guo'dian 火锅店
fu'tuan'chang 副团长
zhe'ren 哲人
hao'tian 昊天
dian'yuan'kai'guan 电源开关
qin'tun 侵吞
ru'ce 如厕
ge'lan'te 格兰特
jiao'li 角力
shang'hai'shen'hua 上海申花
che'shang 车商
hai'chan'pin 海产品
la'ji'dui 垃圾堆
ya'si 压死
te'chang'sheng 特长生
mei'ju 美剧
xiong'lu 雄鹿
tui'wu'jun'ren 退伍军人
bai'mian 白面
gui'guo 贵国
xiao'feng 校风
jiao'fa 叫法
hua'shang'bao 华商报
shi'san'ge 十三个
xin'li'zi'xun'shi 心理咨询师
shun'da 顺达
xing'wei 兴味
hua'duo'shao'qian 花多少钱
cheng'wu'yuan 乘务员
qie'er 切尔
zui'jie'chu 最杰出
che'xia 撤下
bu'shi'dang 不适当
xun'gen 寻根
bo'er 博尔
man'zhou'li 满洲里
jie'qiu 接球
qian'zhe'shou 牵着手
xun'hang'dao'tan 巡航导弹
yun'zuo'fang'shi 运作方式
qi'zhua 齐抓
yi'bai'tu'di 一败涂地
guang'bo'wang 广播网
xing'gan'yan 性肝炎
chuan'de 传得
hao'yin'le 好音乐
xiao'mi'mi 笑咪咪
bu'chou'yan 不抽烟
wo'guo'xian'xing 我国现行
tiao'kong 跳空
nai'zui 奶嘴
ye'hu 业户
cai'xin'tu'pian 彩信图片
jia'ju'wang 家居网
song'bang 松绑
zhuan'ye'xue'wei 专业学位
liang'li'er'xing 量力而行
mian'zao 免遭
gan'yu 甘于
zui'qing 最轻
qu'jie 曲解
yi'min'ju 移民局
zhong'guo'ren'kou 中国人口
guo'ji'yi'liu 国际一流
lun'li'pian 伦理片
lai'gang 来港
ji'cheng'shang 集成商
feng'li 凤梨
yi'xian'qian 一线牵
xiao'qi 小七
yao'ye 药液
yan'yi'jie 演艺界
ru'shu 如数
gan'qun 干群
yin'le'tai 音乐台
li'tao'wan 立陶宛
bao'gong'tou 包工头
tui'gao 推高
bai'chuan 百川
hua'nan'shi'fan'da'xue 华南师范大学
ku'wang 酷网
zui'xin'ai 最心爱
ge'zhou 各州
qun'zhong'yi'jian 群众意见
zhou'bian'chan'pin 周边产品
wang'fu 往复
piao'hong 飘红
diao'cha'gong'si 调查公司
ji'xing 几行
ba'tian 八天
an'hao 安好
she'qu'ju'wei'hui 社区居委会
shen'me'pai'zi 什么牌子
pie'xia 撇下
qing'dao'xin'wen'wang 青岛新闻网
tui'yin 退隐
er'liang 二两
fu'lang 弗朗
gan'rao'su 干扰素
wai'tai'kong 外太空
tou'piao'jie'guo 投票结果
ji'dou 激斗
wen'yao 问药
zhu'xi 朱熹
zi'ran 自燃
da'liang'qiu'gou 大量求购
yun'ying'cheng'ben 运营成本
xian'shan 仙山
gui'gen'dao'di 归根到底
jiang'shuai 将帅
er'bie 而别
yang'zhang 样张
heng'dian 横店
chen'an'zhi 陈安之
ying'yong'wen 应用文
mao'huo 冒火
neng'yuan'wang 能源网
zhi'tong 智通
wu'ta 无他
bo'qu 博取
bian'qing'wa 变青蛙
duo'gua 多寡
jing'xin'zhi'zuo 精心制作
zhe'bu'shi'wo 这不是我
duo'er 多尔
ya'zhou'di'yi 亚洲第一
you'xi 有喜
zhe'ling 这令
lin'jie'dian 临界点
shen'mo 沈默
xiao'ding 小丁
deng'zhi 等值
yan'mei 湮没
xian'dai'han'yu 现代汉语
si'shi'yi 四十一
hong'wai'ce'wen'yi 红外测温仪
shi'yi'zhong'xiang'shou 是一种享受
si'ye'cao 四叶草
re'le 惹了
heng'sheng 横生
tou'guang 透光
shu'du 熟读
jing'hou 静候
chun'wen'zi 纯文字
chan'dou 缠斗
mei'shi'wang 美食网
min'ban'gao'xiao 民办高校
she'ji'zhong'xin 设计中心
ge'mi'men 歌迷们
zheng'ming 争鸣
wu'kong'bu'ru 无孔不入
luan'zhuan 乱转
wei'bu 胃部
chu'chan'pin 畜产品
zhao'du 照度
san'jian 三剑
gan'rao'qi 干扰器
zhong'guo'wai'jiao'bu 中国外交部
shen'an 深谙
zhong'jian 中见
pi'jia 皮夹
shen'shang'xian 肾上腺
chun'lian 春联
men'ya 门牙
da'luo 大罗
jin'tian'yi 金田一
wu'ming 无明
hui'yi 灰衣
lv'xian'tui'chu 率先推出
zao'xiang 造像
you'guan 油管
cai'qing 才情
zui'fan'hua 最繁华
qing'nian'wen'ming'hao 青年文明号
ru'gu 入骨
da'di'zi 大弟子
zhong'xin'yi'yuan 中心医院
qian'jin'ding 千斤顶
shi'chu 释出
bing'chong 病虫
liang'you'bu'qi 良莠不齐
gu'qing 故请
kai'ti 楷体
mao'han 冒汗
shi'gong'gong'yi 施工工艺
hou'duan 后端
duo'ren 夺人
xiao'yue 晓月
ti'xu 体恤
liang'hao 靓号
xue'fo 学佛
da'zhang 大张
mo'ju'wang 模具网
hou'fang'xian 后防线
huo'luo 活络
zhu'yao'mao'dun 主要矛盾
ban'yuan 半圆
zhe'ge'fang'jian 这个房间
xi'la'shen'hua 希腊神话
fu'shi'shi'le 富士施乐
cai'xue 才学
si'zui 死罪
chong'zhi 冲值
qing'bao'ji'gou 情报机构
qing'nian'lv'xing'she 青年旅行社
he'mou 合谋
tong'chi 痛斥
sheng'huo'zi'xun 生活资讯
hou'chen 后尘
huo'yao'wei 火药味
lei'te 雷特
ying'zun'xun 应遵循
ma'lu'bian 马路边
hai'xing 海星
zhi'zhang 智障
sui'duo 虽多
fen'xi'yi'qi 分析仪器
feng'chan 丰产
yu'bei'dang'yuan 预备党员
li'yuan 梨园
da'lve 大略
sha'jia 杀价
wo'zhen 我镇
you'tiao'li 有条理
jiao'xin 交心
tan'he 弹劾
sha'lang 莎朗
ge'ba 个把
cai'dan'lan 菜单栏
gong'yi'jin 公益金
shang'fang 上房
hao'jia'qian 好价钱
tuo'zhu 托住
xin'ti'yan 新体验
tian'nv 天女
yuan'sheng'yin'le 原声音乐
ping'yi 平抑
yu'le'bai'fen'bai 娱乐百分百
pu'sha 扑杀
yin'zhou 鄞州
wang'chen'mo'ji 望尘莫及
ju'ti'zuo'fa 具体做法
yu'ci 於此
shen'ye'li 深夜里
huang'zhe 晃着
shi'qu 时区
ji'zhi 基质
pai'ke 排课
shang'ye'ji'hua'shu 商业计划书
she'mian 赦免
er'shi'wu'sui 二十五岁
xia'guo 下锅
dian'nao'pei'zhi 电脑配置
yi'tu 以图
zhi'dong'qi 制动器
da'jiang'wang 大江网
ya'li'biao 压力表
jie'yue 解约
zha'de 炸得
chuang'xin'si'wei 创新思维
si'hui'fu'ran 死灰复燃
ying'ge'lan'dui 英格兰队
tuo'zhuai 拖拽
gai'fa 该法
xi'dian 西点
guan'deng 关灯
song'zi 松子
yan'jiu'jin'zhan 研究进展
tou'biao'wen'jian 投标文件
you'zhao 又找
shu'yu 疏于
bu'ru'dong'wu 哺乳动物
shi'nei'zhuang'xiu 室内装修
zhen'tan'xiao'shuo 侦探小说
zhi'shi'jiang'zuo 知识讲座
jing'tian'di 惊天地
shi'yang 试样
bang'zi 膀子
bao'fa'hu 暴发户
chao'xian'zu 朝鲜族
kuang'kuang 框框
hen'ruo 很弱
hui'ji'shi'kao'shi 会计师考试
fa'shou'ji 发手机
lie'kai 咧开
nv'zhen 女真
chang'tu'ba'she 长途跋涉
yi'de 医德
xia'zai'ji'di 下载基地
chu'she 初涉
qing'zheng 清正
ke'chong'dian 可充电
cai'neng'zuo'dao 才能做到
dong'yin 动因
bei'jing'mou 北京某
ni'ken 你肯
xiang'mu'zhao'biao 项目招标
ban'zhong 版中
zui'xin'liu'xing 最新流行
zhi'de 之德
jin'shu'jia'gong 金属加工
chang'yu 常与
ke'wei'qi 科维奇
jia'le 家乐
lv'bu'wei 吕不韦
mian'chang 绵长
zheng'que'li'jie 正确理解
dou'xiao 逗笑
qiao'bao 侨胞
yun'di 运抵
yao'zhua'hao 要抓好
huan'xing 缓刑
jing'bu'zhu 经不住
er'shou'shou'ji 二手手机
jin'zhang 进帐
shi'wu'ge 十五个
tuo'fu'gei 托付给
yao'chan'wan'guan 腰缠万贯
chang'xi 唱戏
yin'he'zheng'quan 银河证券
zhong'yang'wei'yuan'hui 中央委员会
qie'sui 切碎
he'mai 合买
chu'jian 出剑
san'da'jian 三大件
cheng'yuan 乘员
ying'cai'wang 英才网
ding'qi'jian'cha 定期检查
bu'wan'le 不玩了
ge'di'shi 各地市
gai'zuo'shen'me 该做什么
zhao'pin'guang'gao 招聘广告
gao'ji'jiao'shi 高级教师
shen'ju 身居
bu'lai 布莱
jia'tie 加贴
xian'di 贤弟
duan'dao 短刀
jiu'shi'si 九十四
guang'gao'li'pin 广告礼品
cai'dan'xiang 菜单项
zhuang'bei'zhi'zao'ye 装备制造业
mi'tang 蜜糖
qing'zhen 情真
shi'yong'xing 适用性
gong'men 攻门
jin'chu'kou'ye'wu 进出口业务
ji'yin'gong'cheng 基因工程
fei'ting 飞艇
si'liao'tian'jia'ji 饲料添加剂
ban'xiang 扮相
ji'hui 击毁
chu'lu 初露
wo'ai'luo 我爱罗
zhao'bu'dao'gong'zuo 找不到工作
bie'gen'wo 别跟我
zhuan'ji 转寄
chu'shou'er'shou 出售二手
xiao'qi 小齐
zhi'hui'xing 智慧型
zhi'qu 志趣
si'ge 四哥
tong'xin'xing'ye 通信行业
ke'yu 可于
jiao'yi'cheng'ben 交易成本
di'yi'zhou 第一周
sheng'bi'de'bao 圣彼得堡
nan'dui 男队
chun'feng'de'yi 春风得意
he'tong'qian'ding 合同签订
sheng'nu 盛怒
man'huang 蛮荒
hao'xia 豪侠
you'yi'zhong'ai 有一种爱
ke'ji'chan'ye 科技产业
zhong'xuan'bu 中宣部
guo'ji'jian 国际间
zhu'chi'ci 主持词
la'ding'wu 拉丁舞
bei'wen 碑文
chuang'di 床底
zhong'guo'ke'xue'ji'shu 中国科学技术
zhu'mu'lang'ma 珠穆朗玛
da'ma'ji 打码机
yi'fan'chang'tai 一反常态
chao'xie 抄写
ying'ke 迎客
ling'feng 灵风
bu'nu'li 不努力
gu'pen 骨盆
zhong'qu 中区
jing'ji'zeng'chang'lv 经济增长率
ke'jia'ren 客家人
chu'chu 初出
yang'shu 杨树
an'quan'sheng'chan'guan'li 安全生产管理
zhu'zai 猪仔
wang'shi 网事
si'li 死里
xing'xiang 星相
tan'chu'shi 弹出式
jing'ran'you'xu 井然有序
bao'chao 包抄
shi'dong 石洞
zeng'se 增色
qian'jiao 前脚
yi'chang'kong 一场空
ca'shang 擦伤
xiao'fang'dui 消防队
shi'shi'su'zhi'jiao'yu 实施素质教育
shi'wu'guan'li 事务管理
zhao'sheng'wang 招生网
xia'sheng 侠圣
mei'ru 美乳
da'kai'zhu'ce'biao 打开注册表
yu'tang 鱼塘
shan'cun'ka 闪存卡
ben'yue'di 本月底
xing'shi'zheng 行驶证
kan'guan 看官
pin'ping 品评
fa're'liang 发热量
na'shui'chou'hua 纳税筹划
bu'jie'feng'qing 不解风情
kai'liu 开溜
ma'lin 马林
zong'ma 纵马
da'lao'ye 大老爷
hua'zhuang'pin'you'xian'gong'si 化妆品有限公司
jing'qi 旌旗
you'zhou 幽州
ci'mu 刺目
gou'qiang 够呛
shang'xing'qi 上星期
zhuan'jia'wei'yuan'hui 专家委员会
yu'guo'tian'qing 雨过天晴
hui'quan 挥拳
qi'qi 凄凄
ding'qing 定情
jin'kou'qi'che 进口汽车
sai'che 塞车
mu'tong 牧童
di'qu'xing 地区性
jing'gai 井盖
liang'ben'shu 两本书
se'mo 色魔
zong'xian'pin'lv 总线频率
di'yu 低於
ge'xian'shi 各县市
tou'shi 投石
wo'ni 我你
wai'chu'wu'gong 外出务工
jiang'zhi 僵直
xin'xing'nong'cun'he'zuo'yi'liao 新型农村合作医疗
ba'la'gui 巴拉圭
pin'pai'dian'nao 品牌电脑
zheng'jiao'suo 证交所
yin'xing'jia 银行家
ru'yi'ri 如一日
gao'dan'bai 高蛋白
e'mo'cheng 恶魔城
guan'zhong'xi 观众席
guan'mu'cong 灌木丛
ye'ji 也极
pian'xiao 偏小
bi'shi 逼视
fu'qi'guan'xi 夫妻关系
qu'jiao'zhi 去角质
dao'cheng 岛城
ruo'dian 弱电
lin'lin 琳琳
xiao'xue 小穴
bu'jue 不决
pu'huo 铺货
ka'tong'ren'wu 卡通人物
yi'wu'yi'shi 一五一十
ping'you 评优
hai'dao'chuan 海盗船
jia'ru'shi'jie'mao'yi 加入世界贸易
ji'wen 急问
wo'ai'ta 我爱他
ku'wei 苦味
shi'yi 释疑
fa'guang'er'ji'guan 发光二极管
gan'gan 干干
ji'lv'jian'cha 纪律检查
che'dao 扯到
tu'di'chu'rang'jin 土地出让金
wu'zhen 误诊
gu'nai'nai 姑奶奶
qian'bei'men 前辈们
yue'du'jiao'xue 阅读教学
gu'fen'zhuan'rang 股份转让
zhong'gao 中高
pei'shen'tuan 陪审团
bu'chang'ming 不偿命
chu'ba 初八
shou'cun 收存
fen'li'chu 分理处
qi'yu 起于
wu'zheng 物证
qing'hai'hu 青海湖
jiao'bu 胶布
yi'zhe 一着
huan'yi'zhong 换一种
shi'pin'zhi'liang 食品质量
kao'bei 靠背
mao'he'lao'shu 猫和老鼠
wan'gu 万古
chang'ming 长鸣
qi'gan 旗杆
e'si'le 饿死了
jing'ji'cang 经济舱
tong'yuan 同源
jia'qiang'ji'ceng 加强基层
han'wu 汉武
jin'yong'xiao'shuo 金庸小说
heng'xian 横线
yun'luo 陨落
wang'an'shi 王安石
zhi'ting'ting 直挺挺
mian'shu 面熟
ge'de 歌德
shan'pan 闪盘
gui'hua'bian'zhi 规划编制
da'xian'shen'shou 大显身手
yao'qi 妖气
su'zhou'da'xue 苏州大学
xue'wu 学武
ge'shi 隔世
zong'she 总社
hao'ku 好苦
ji'zhun'li'lv 基准利率
li'jiao 礼教
gang'qin'jia 钢琴家
ji'jia 机架
ying'she 影射
di'mi'du 低密度
tuan'zong'zhi 团总支
zhong'yao'gong'xian 重要贡献
gui'hun 鬼混
zu'he'jian 组合键
shu'bian'dian 输变电
zhang'zhang 张张
bao'zhuang'yin'shua 包装印刷
